card_id,decklist_id,place,player_name,quantity,brigade,n_brigades,card_name,in_reserve,image_file,official_set,type,strength,toughness,class,identifier,special_ability,rarity,reference,alignment,legality
shon_sievers_FR-Crowds-Choice-foil,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Crowd's Choice [Fundraiser],False,FR-Crowds-Choice-foil,Fundraiser,Dominant,,,,Gospel,Good: You may take a good card from deck or Reserve. / Evil: You may take an evil card from deck or Reserve.,Promo,Matthew 27:17,Neutral,Rotation
shon_sievers_FR-Harvest-Time-foil,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Harvest Time [Fundraiser],False,FR-Harvest-Time-foil,Fundraiser,Dominant,,,,Gospel,Select a number. Play that number of Lost Souls from each deck. Regardless of protect abilities.,Promo,John 4:35,Good,Rotation
shon_sievers_Guardian-of-Your-Souls-participation,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Guardian of Your Souls [2024 - National],False,Guardian-of-Your-Souls-participation,Promo,Dominant,,,,,"Place in territory: Protect Lost Souls from evil cards and Heroes from convert abilities. If an ability targets this card, you may topdeck it instead.",National,1 Peter 2:25,Good,Rotation
shon_sievers_L3-Warrior-Overtaken,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Warrior Overtaken [L],False,L3-Warrior-Overtaken,L Starter,Dominant,,,,,You may take an evil Philistine from deck or Reserve. Discard a Hero in a territory to add an evil Philistine to battle.,Starter,I Samuel 31:2,Evil,Rotation
shon_sievers_Denarius-IJ,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Denarius (I/J+),False,Denarius-IJ,I/J+,Artifact,,,,,"You may take an evil Roman from deck or a N.T. gray Enhancement from Reserve. While you control an emperor, you may discard this card to draw 3.",,Mark 12:15,Neutral,Rotation
shon_sievers_036-Book-of-the-Covenant-UR,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Book of the Covenant (PoC),False,036-Book-of-the-Covenant-UR,Prophecies of Christ,Artifact,,,,"Tabernacle, Temple, Holds up to 2 Covenants","You may take a Covenant from Reserve (or deck if you control a Tabernacle priest). Protect contents from evil cards. Contents cannot be negated. Each upkeep, if a Covenant is here, you may draw 1.",Ultra Rare,Exodus 24:7,Neutral,Rotation
shon_sievers_Scroll_of_Isaiah_(EC),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'Green']",2,Scroll of Isaiah,False,Scroll_of_Isaiah_(EC),Early Church,Covenant,2,5,,,Good convert enhancements cannot be negated. When an Evil Character is converted its owner may discard 2 cards of matching brigade from hand instead.,Common,Acts 8:32 (Isaiah 53:7),Good,Rotation
shon_sievers_LR22-Confusion-of-Mind,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Pale Green'],1,Confusion of Mind (PoC),False,LR22-Confusion-of-Mind,Prophecies of Christ,Curse,0,6,,,Negate opponents' Heroes. An opponent may discard 2 good Enhancements (or a good Dominant) from hand to discard this card. Cannot be negated.,Legacy Rare,Deuteronomy 28:28,Evil,Rotation
shon_sievers_031-Babel-UR,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Blue'],1,Babel (FoM),False,031-Babel-UR,Fall of Man,City,,,,X = # of opponent's good and evil brigades,"SITE: If you play this Site, you may take an evil O.T. human from Reserve.  FORT: Negate opponents' characters with toughness X or less.",Ultra Rare,Genesis 11:4,Evil,Rotation
shon_sievers_021-Storehouse-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Storehouse [IR],False,021-Storehouse-R,Israel's Rebellion,Fortress,,,,,"Protect hand, deck, discard pile and Reserve from opponents. Each upkeep, you may take an O.T. Enhancement from Reserve.",Rare,Genesis 41:56,Evil,Rotation
shon_sievers_LoC_027-Wall-of-Protection-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,[],0,Wall of Protection (LoC),False,LoC_027-Wall-of-Protection-R,Lineage of Christ,Fortress,,,,,"Protect your characters from opponents’ band, choose and side battle abilities. Protect your meek Heroes from the first evil Enhancement played each battle.",Rare,Nehemiah 4:7,Good,Rotation
shon_sievers_20-Patmos,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Green', 'Purple', 'Silver']",3,Patmos (RoJ),False,20-Patmos,Revelation of John,Site,,,,,"If you play this Site, you may search deck or discard pile for a Disciple or a Revelation angel.",Common,Revelation 1:9,Neutral,Rotation
shon_sievers_098-Captive-Priest,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Teal'],1,Captive Priest,False,098-Captive-Priest,Fall of Man,Hero,2,4,,Priest,"You may capture this Hero to opponent's Land of Bondage to take an idol and add your priest from hand, deck, territory or Reserve to battle.",Common,Judges 18:27,Good,Rotation
shon_sievers_46-Priests-of-Christ,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'Teal', 'White']",3,Priests of Christ (RoJ),False,46-Priests-of-Christ,Revelation of John,Hero,4,5,,"Generic, Genderless, Priest","Negate demons. If blocked from hand, you may search deck for a good Dominant or exchange this card with a Revelation Hero in hand, deck, territory or Reserve. Cannot be interrupted.",Common,Revelation 20:6,Good,Rotation
shon_sievers_77-Angel-from-the-Sun,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Silver'],1,Angel from the Sun (RoJ),False,77-Angel-from-the-Sun,Revelation of John,Hero,3,3,,,"You may exchange this Hero with a martyr from hand, deck, territory or Reserve. If it is a Revelation martyr, you may draw 2.",Common,Revelation 7:3,Good,Rotation
shon_sievers_The_Angel_of_the_Winds_(CoW),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Silver'],1,The Angel of the Winds,False,The_Angel_of_the_Winds_(CoW),Cloud of Witnesses,Hero,3,2,,,"You may exchange this Hero with a human Hero in deck. If that Hero is a cloud Hero, negate Evil Characters.",Rare,Hebrews 1:7,Good,Rotation
shon_sievers_112-Matthew,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Purple', 'Clay']",2,Matthew the Publican / Matthew (Levi) (GoC),False,112-Matthew,Gospel of Christ,Hero,6(4),4(6),,"Disciple, Jerusalem, Martyr, Missionary, X = # of brigades revealed","TOP: You may convert this card to meek or reveal a good Dominant from hand. If you do, you may reveal opponent’s hand: Draw X. Cannot be interrupted. BOTTOM: Meek",Common,Luke 5:27,Good,Rotation
shon_sievers_43-Justin-Martyr,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'White']",2,Justin Martyr (RoJ),False,43-Justin-Martyr,Revelation of John,Hero,7,5,,Martyr,"You may search deck, Reserve or discard pile ( if it contains a martyr) for Blood of the Lamb or Word of Their Testimony. Cannot be interrupted.",Common,Revelation 14:12,Good,Rotation
shon_sievers_056-Abiathar-the-Survivor,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,"Abiathar, the Survivor",False,056-Abiathar-the-Survivor,Israel's Rebellion,Hero,3,4,,Tabernacle High Priest,"Protect O.T. priests from evil discard abilities. May band to a Tabernacle priest, or you may take an O.T. clay Enhancement from Reserve.",Common,I Samuel 22:20,Good,Rotation
shon_sievers_052-Eli-Samuels-Mentor,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,"Eli, Samuel's Mentor",False,052-Eli-Samuels-Mentor,Israel's Rebellion,Hero,8,7,,"Judge, Tabernacle High Priest",Protect O.T. priests from evil capture and shuffle abilities. You may draw 2 or take an O.T. Artifact from Reserve.,Common,I Samuel 3:9,Good,Rotation
shon_sievers_054-Ahimelech-Chief-Priest-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,"Ahimelech, Chief Priest",False,054-Ahimelech-Chief-Priest-R,Israel's Rebellion,Hero,5,10,Territory,Tabernacle High Priest,"If an O.T. clay card you own is reserved, you may draw 1. If attacking, you may take an O.T. clay card from Reserve.",Rare,I Samuel 21:1,Good,Rotation
shon_sievers_185-Jonah,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Green'],1,Jonah (PoC),False,185-Jonah,Prophecies of Christ,Hero,4,5,Territory,"Minor Prophet, X = # of Assyrians in play","(Star) Topdeck a Jonah card from Reserve. (Hero) If an opponent uses a search ability, you may shuffle a card in their territory (or 2 if X is 2 or greater).",Common,Jonah 1:1-2,Good,Rotation
shon_sievers_089-Virgin-Birth,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Green', 'White']",2,Virgin Birth,False,089-Virgin-Birth,Prophecies of Christ,GE,,,Territory,,(Star) Look at the top 6 cards of deck: You may underdeck this card to take 1. (HE) Take a human Hero from Reserve (or deck if used by a female).,Common,Isaiah 7:14,Good,Rotation
shon_sievers_107-Delivered,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Green', 'Teal', 'Evil Gold', 'Pale Green']",4,Delivered,False,107-Delivered,Prophecies of Christ,GE/EE,3/2,2/3,"Territory, Star",,STAR: Discard the top card of each opponent’s deck. GE/EE: Activate an Artifact from deck (or Reserve if you control an Egyptian).,Common,Isaiah 19:20,Neutral,Rotation
shon_sievers_061-Covenant-with-David,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Green', 'Purple', 'White']",3,Covenant with David (PoC),False,061-Covenant-with-David,Prophecies of Christ,Covenant,5,2,,Involves Music,"HE: You may play a Site or good Fortress from deck (or Reserve if used by David). ART: If you do not control a king, you may take a king from deck.",Common,II Samuel 23:5,Good,Rotation
shon_sievers_061-Generous-Giving.jpg,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Generous Giving (Roots),False,061-Generous-Giving.jpg,Roots,GE,4,3,,,Interrupt the battle. You may draw 3 and play an Enhancement.,,II Corinthians 8:12,Good,Rotation
shon_sievers_Entertaining_Angels_(CoW),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Entertaining Angels (CoW),False,Entertaining_Angels_(CoW),Cloud of Witnesses,GE,2,3,,,Interrupt the battle and search deck for an angel. Hero may band to any number of silver brigade Heroes.,Common,Hebrews 13:1-2,Good,Rotation
shon_sievers_179-Outpouring,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'Green']",2,Outpouring,False,179-Outpouring,Prophecies of Christ,GE,5,0,Star,,"STAR: Shuffle a card from a Reserve. GE: Negate an evil card. If it is a human, convert it to clay. Cannot be negated if The Holy Spirit is in play.",Common,Joel 2:28,Good,Rotation
shon_sievers_Preaching_in_the_Synagogue,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Preaching in the Synagogue,False,Preaching_in_the_Synagogue,Early Church,GE,3,3,,,"Interrupt the battle and convert a human Evil Character to a clay Hero. If you convert a N.T. Evil Character, you may underdeck this card.",Common,Acts 17:2,Good,Rotation
shon_sievers_CoW_AB_N77-Eternal-Inheritance-UR,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Eternal Inheritance (CoW AB),False,CoW_AB_N77-Eternal-Inheritance-UR,Cloud of Witnesses (Alternate Border),GE,3,3,,,"If rescuing, a Covenant is active and your Hero is opposed, remove this from the game to rescue a Lost Soul. Battle continues as a battle challenge. Opponent may play an Enhancement.",Ultra Rare,Hebrews 9:15,Good,Rotation
shon_sievers_LoC_178-Philistine-Armor-Bearer,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,Philistine Armor Bearer (LoC),False,LoC_178-Philistine-Armor-Bearer,Lineage of Christ,Evil Character,7,5,Warrior,"Generic, Philistine","You may take or equip a black weapon from Reserve. You may exchange this card with a unique Philistine from deck, discard pile or Reserve. Cannot be prevented.",Common,I Samuel 17:41,Evil,Rotation
shon_sievers_LoC_177-Herdsmen-of-Gerar,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,The Herdsmen of Gerar (LoC),False,LoC_177-Herdsmen-of-Gerar,Lineage of Christ,Evil Character,5,6,,"Philistine, X = # of cards drawn by opponent’s abilities this turn","If opponent used a draw ability this turn, you may draw X. If opponent used a search ability this turn, you may take a card from Reserve. Cannot be interrupted.",Common,Genesis 26:20,Evil,Rotation
shon_sievers_LR45-Goliath,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,Goliath (LoC),False,LR45-Goliath,Lineage of Christ,Evil Character,10,10,Warrior,"Philistine Giant, Taunt (Underdeck opponent's Hero.)","Negate band, draw and play abilities. Withdraw all Heroes (except giant slayers) in battle. Opponent may present a new Hero. Cannot be negated.",Legacy Rare,I Samuel 17:44,Evil,Rotation
shon_sievers_RoJ_AB_N102-High-Priest-Ananias-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,High Priest Ananias (RoJ AB),False,RoJ_AB_N102-High-Priest-Ananias-R,Revelation of John (Alternate Border),Evil Character,10,11,Territory,"High Priest, Sadducee","Sadducees in battle ignore angels. While High Priest Ananias is blocking, restrict opponent from playing good Enhancements with a brigade not already in battle. Cannot be prevented.",Rare,Acts 23:2,Evil,Rotation
shon_sievers_The_Priests_of_Zeus,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,The Priests of Zeus,False,The_Priests_of_Zeus,Early Church,Evil Character,2,5,Territory,"Greek, Priest","If an opponent draws because of their special ability, you may discard a card in that player's territory (except a Lost Soul). Cannot be interrupted.",Rare,Acts 14:13,Evil,Rotation
shon_sievers_Promo_Emperor-Nero,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Gray'],1,Emperor Nero (Promo),False,Promo_Emperor-Nero,Promo,Evil Character,10,7,Warrior,Roman Emperor,Protect this card from lone Heroes and opponents' Dominants. You may take a Roman Site or Fortress from deck (or Reserve if you control a Roman soldier). Cannot be prevented.,Regional,Acts 27:24,Evil,Rotation
shon_sievers_151-Mask-of-Self-Glorification.jpg,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,Mask of Self-glorification (Roots),False,151-Mask-of-Self-Glorification.jpg,Roots,EE,5,1,,Gospel,Interrupt the battle. You may draw 3 and play an evil Enhancement.,,Matthew 23:24,Evil,Rotation
shon_sievers_198-Stricken,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Black', 'Gray']",2,Stricken,False,198-Stricken,Prophecies of Christ,EE,5,1,Star,,STAR: Protect all decks and Reserves from opponents during the next battle phase. EE: Negate a good card or reserve a Hero.,Common,Micah 5:1,Evil,Rotation
shon_sievers_167-Tenants-Kill-the-Son,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Black', 'Gray']",2,Tenants Kill the Son (GoC),False,167-Tenants-Kill-the-Son,Gospel of Christ,EE,3,3,,,Interrupt the battle. Character may band to an evil human and you may discard a Hero. Cannot be prevented if you control a meek Lost Soul.,Common,Matthew 21:38-39,Evil,Rotation
shon_sievers_57-Blood-of-the-Lamb,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'Green', 'White']",3,Blood of the Lamb (RoJ),False,57-Blood-of-the-Lamb,Revelation of John,GE,2,2,,,"Negate an evil card. If used by a martyr, you may draw 3. You may play an Enhancement.",Common,Revelation 12:11,Good,Rotation
shon_sievers_055-Zadok-Ark-Carrier,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,"Zadok, Ark Carrier",True,055-Zadok-Ark-Carrier,Israel's Rebellion,Hero,4,9,Warrior,Tabernacle High Priest,You may reserve an O.T. card from hand to negate Enhancements. You may draw 2.,Common,II Samuel 15:24,Good,Rotation
shon_sievers_061-Phinehas-Spear,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Phinehas' Spear [IR],True,061-Phinehas-Spear,Israel's Rebellion,GE,3,2,Weapon,,"You may reserve this card. If you do, protect Hero from an evil brigade or take an O.T. clay card from Reserve.",Common,Numbers 25:7,Good,Rotation
shon_sievers_023-Blessings-for-Levi.jpg,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Clay'],1,Blessings for Levi (Roots),True,023-Blessings-for-Levi.jpg,Roots,Covenant,2,5,,Based on Prophecy,"GE: You may exchange this card with an O.T. clay Enhancement from deck. / A: If your O.T. priest rescues a Lost Soul, you may underdeck an evil card.",,Malachi 2:4,Good,Rotation
shon_sievers_135-New-Covenant-Jeremiah-R,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'Green', 'Teal']",3,New Covenant (Jeremiah),True,135-New-Covenant-Jeremiah-R,Prophecies of Christ,Covenant,3,3,,Artifact has Unity: Heroes (Share a brigade),GE: Convert all evil humans in battle. You may draw 1 and topdeck this card. ART: Shuffle this card: Your human Hero gains “May band to a human.” this turn.,Rare,Jeremiah 31:33 (Hebrews 1:10),Good,Rotation
shon_sievers_Lahmi's_Spear_(I),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,Lahmi's Spear (I),True,Lahmi's_Spear_(I),I,EE,5,0,Weapon,,You may discard this card to discard a Hero.,Deck,I Chronicles 20:5,Evil,Rotation
shon_sievers_LoC_219-Foreign-Spears,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Black', 'Evil Gold']",2,Foreign Spears (LoC),True,LoC_219-Foreign-Spears,Lineage of Christ,EE,5,0,Weapon,,"You may negate a good card. If you do not, you may discard this card to discard a good card in a territory.",Common,II Chronicles 21:16,Evil,Rotation
shon_sievers_217-Scattered-Sheep,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Black', 'Gray']",2,Scattered Sheep,True,217-Scattered-Sheep,Prophecies of Christ,EE,,,,,(Star) Reveal all hands: Underdeck a Hero from each hand. (EE) Shuffle all Heroes in battle. Cannot be negated if opposed by 2 or more Heroes.,Common,Zechariah 13:7,Evil,Rotation
shon_sievers_147-The-Twelve-Fingered-Giant.jpg,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,The Twelve-Fingered Giant (Roots),True,147-The-Twelve-Fingered-Giant.jpg,Roots,Evil Character,6,12,Warrior,Philistine Giant,Negate band and toss abilities. Cannot be negated.,,I Chronicles 20:6,Evil,Rotation
shon_sievers_L42-King-Achish,nats2024_10th_shon_sievers.txt,10,shon_sievers,1,['Black'],1,King Achish [L],True,L42-King-Achish,L Starter,Evil Character,11,10,Warrior,Philistine King,You may take an evil O.T. card from Reserve.,Starter,I Samuel 21:12,Evil,Rotation
shon_sievers_You_Will_Remain_(CoW),nats2024_10th_shon_sievers.txt,10,shon_sievers,1,"['Clay', 'White']",2,You Will Remain,True,You_Will_Remain_(CoW),Cloud of Witnesses,Covenant,0,7,,Involves Music,"If opponent uses an evil 'end the battle' ability this turn, you may begin a new battle. If an opponent removes your last Hero from battle, you may remove this from the game to add your Hero to battle.",Rare,Hebrews 1:11-12  Psalm 102:26-27,Good,Rotation
card_id,decklist_id,place,player_name,quantity,brigade,n_brigades,card_name,in_reserve,image_file,official_set,type,strength,toughness,class,identifier,special_ability,rarity,reference,alignment,legality
justin_alstad_205-Lost-Soul-Distressed-Zephaniah-1_17,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Distressed"" [Zephaniah 1:17]",False,205-Lost-Soul-Distressed-Zephaniah-1_17,Prophecies of Christ,Lost Soul,,,,"[""Distressed""]",Negate characters in other territories.,Common,Zephaniah 1:17,Neutral,Rotation
justin_alstad_CoW_AB_N19-Lost-Soul---Heb-5.11-R,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Dull"" [Hebrews 5:11] [AB - CoW]",False,CoW_AB_N19-Lost-Soul---Heb-5.11-R,Cloud of Witnesses (Alternate Border),Lost Soul,,,,"[""Dull""]","During battle, if opponent uses a good special ability to look, reveal or search, you may search your deck for an Evil Character or evil Enhancement.",Rare,Hebrews 5:11,Neutral,Rotation
justin_alstad_Lost-Soul-Lawless-Heb_12-8-P,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Lawless"" [Hebrews 12:8] [2021 - 1st Place]",False,Lost-Soul-Lawless-Heb_12-8-P,Promo,Lost Soul,,,,"[""Lawless""]","If you draw this card, you may reveal the top 6 cards of a deck: Put Lost Souls in play, and the deck's owner may add a revealed evil card to hand. Underdeck the rest.",Promo,Hebrews 12:8,Neutral,Rotation
justin_alstad_Lost_Soul_Luke_5_15_(Promo),nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Crowds"" [Luke 5:15] [2016 - Local]",False,Lost_Soul_Luke_5_15_(Promo),Promo,Lost Soul,,,,"[""Crowds""]","While you have drawn 4 or fewer cards this turn, protect your hand and deck from opponents' cards.",Promo,Luke 5:15,Neutral,Rotation
justin_alstad_Promo_Lost-Soul-Darkness-Job_30-26-Nats2019,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Darkness"" [Job 30:26] [2019 - 1st Place]",False,Promo_Lost-Soul-Darkness-Job_30-26-Nats2019,Promo,Lost Soul,,,,"[""Darkness""]","If put in play by an opponent’s special ability (or if you have no Evil Characters in territory when drawn), you may take or play an Evil Character from deck or Reserve.","National, Winner",Job 30:26,Neutral,Rotation
justin_alstad_22-Lost-Soul-Humble-R,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Humble"" [James 4:6 / Proverbs 3:34 - RoJ]",False,22-Lost-Soul-Humble-R,Revelation of John,Lost Soul,,,,"[""Humble""]","During battle, while opponent has more cards in hand than you, your cards cannot be prevented by opponents' cards.",Rare,James 4:6 (Proverbs 3:34),Neutral,Rotation
justin_alstad_019-Lost-Soul-Lost-Souls.jpg,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Lost Soul ""Lost Souls"" [Proverbs 2:16-17]",False,019-Lost-Soul-Lost-Souls.jpg,Roots,Lost Soul,,,,"[""Lost Souls""]","If an O.T. Lost Soul (except a token) is put in play, you may create a Lost Soul token in a Land of Bondage.",,Proverbs 2:16-17,Neutral,Rotation
justin_alstad_FR-Crowds-Choice-foil,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,Crowd's Choice [Fundraiser],False,FR-Crowds-Choice-foil,Fundraiser,Dominant,,,,Gospel,Good: You may take a good card from deck or Reserve. / Evil: You may take an evil card from deck or Reserve.,Promo,Matthew 27:17,Neutral,Rotation
justin_alstad_FR-The-Second-Coming,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,The Second Coming [Fundraiser],False,FR-The-Second-Coming,Fundraiser,Dominant,,,,[May not be included in a deck with the New Jerusalem Dominant],Search deck or discard pile for a good Dominant.,Promo,Hebrews 9:28,Good,Rotation
justin_alstad_Glory-of-the-Lord-Winner.jpg,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,Glory of the Lord [2024 - Winner],False,Glory-of-the-Lord-Winner.jpg,Promo,Dominant,,,,,You may activate a Temple Artifact. Restrict players from playing Enhancements on characters (except lone priests) this turn.,Promo,II Chronicles 7:1,Good,Rotation
justin_alstad_FR-Star-of-Bethlehem-foil,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,Star of Bethlehem [Fundraiser],False,FR-Star-of-Bethlehem-foil,Fundraiser,Dominant,,,,"[X = # of your nativity Heroes (limit 6)] Gospel, Nativity",*: Draw up to X. / D: You may reveal discard pile and up to X cards from hand: Activate up to X good * abilities on those cards and/or cards you control. Limit twice per game.,Promo,Matthew 2:2,Good,Rotation
justin_alstad_FR-Three-Woes,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,Three Woes [Fundraiser],False,FR-Three-Woes,Fundraiser,Dominant,,,,[When put in play choose to be good or evil],"Place in territory: Negate a card of a different alignment than this card for one round. Each upkeep, you may negate a card of a different alignment than this card for one round.",Promo,Revelation 9:12,Neutral,Rotation
justin_alstad_Promo_Son-of-God-Christmas,nats2024_11th_justin_alstad.txt,11,justin_alstad,1,[],0,"Son of God ""Manger"" (Promo)",False,Promo_Son-of-God-Christmas,Promo,Dominant,,,,,Negate and rescue a Lost Soul.,Seasonal,Luke 2:7,Good,Rotation
